Y,area,primeter,red,mean_red,std_red,grean,mean_grean,std_grean,blue,mean_blue,std_blue
False,6900.5,354.69342,0.03111217,7.1438140869140625,22.565143310656712,0.022035658,7.2722320556640625,23.301908602460855,0.18541287,17.419464111328125,51.656041295762705
True,848.0,2112.577,0.10138862,55.61668395996094,55.41589742653152,0.091687754,57.26795959472656,56.8429199106544,0.35559016,77.22193908691406,74.82915384974528
True,327.5,1306.8813,0.06339302,63.410369873046875,67.98723140355703,0.06676915,64.63800048828125,68.58897757142155,0.25061795,84.86402893066406,87.23081705660805
False,15695.0,484.90158,0.05561675,21.88140869140625,41.29079206190616,0.04468166,20.289581298828125,38.79068561049555,0.2952875,45.36415100097656,81.43358583672463
False,1671.0,157.53911,0.010688576,3.665313720703125,22.974011206252104,0.013458529,3.4257354736328125,21.44955436565528,0.06929577,5.463775634765625,33.75368270637485
True,587.0,1705.3322,0.093930826,39.14717102050781,50.11534418124443,0.05361059,51.37519836425781,62.19208737391568,0.19523343,66.69625854492188,78.45661414682847
True,27762.0,690.92596,0.20791008,63.86277770996094,78.95849610044813,0.061687026,58.42033386230469,72.24334454495362,0.19725074,67.10153198242188,82.19895231281787
True,9170.0,3641.174,0.090111665,43.71733093261719,54.86810086346514,0.0879476,44.97215270996094,54.76510372471354,0.36820844,75.48591613769531,81.70303451529878
False,15403.0,491.93103,0.056288093,22.837127685546875,44.60859331574113,0.040831774,26.072982788085938,49.23857300515453,0.11428913,32.3265380859375,59.208764783806586
False,406.0,1372.6215,0.11359684,61.84349060058594,61.34654874575996,0.08841626,75.51547241210938,72.0064372587494,0.18840289,93.01518249511719,86.11194438721678
False,16498.5,557.2031,0.054415263,20.151046752929688,36.364379126802696,0.03541569,20.987152099609375,37.92384883253877,0.32325718,46.4449462890625,80.2552759798665
False,19059.5,551.91376,0.05525135,29.05792236328125,49.79554850690318,0.040821146,39.834930419921875,64.20045268024352,0.09944384,49.936431884765625,78.61692035203168
False,1374.0,152.2254,0.018305317,2.17987060546875,15.351871461040309,0.008428236,2.517669677734375,17.524036374888812,0.03232641,3.3618011474609375,23.0090514352973
